الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,المكونات,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,اللون,سنة الإصدار,Category,نوع المكياج,مفتاح البحث
مونت بلانك إمبليم,317,مونت بلانك,رجالي,عطور,جذابة,شرقية خشبية,100 مل,الجريب فروت، الميرمية، هيل، أوراق البنفسج، القرفة، خشب، حبوب التونكا,أو دو تواليت,زيت الميرمية، هيل، الجريب فروت,أوراق البنفسج، القرفة,خشب، حبوب التونكا,,2014,عطور,,
مجموعة لمسة الفخامة الرجاليّة - 4 قطع,497,مجموعات حصرية,رجالي,مجموعات,,,,,,,,,,,,,
قوتشي فلورا جورجيوس جاردينيا أو دو برفيوم,601,قوتشي,نسائي,عطور,حسية,زهرية,100 مل,,أو دو برفيوم,زهور شجر الكمثرى، الماندرين، التوت الأحمر,الجاردينيا البيضاء، الياسمين، زهور فرانجيبيني,السكر البني، الباتشولي,,2021,,,
ميزون مارجيلا جاز كلوب أو دو تواليت,771,ميزون مارجيلا,رجالي,عطور,كلاسيكية,جلدية,100 مل,كحول، ماء، عطر، إيثيل هكسيل ميثوكسيسينامات، كومارين، ليمونين، إيثيل هكسيل ساليسيلات، بوتيل ميثوكسيديبنزويل ميثان، لينالول، سيترال، جيرانيول، قرفة، هيدروكسيترونيلال، يوجينول، سيترونيلول.,أو دو تواليت,الليمون، زهر البرتقال، الفلفل الوردي,المريمية، زيت نجيل الهند، الرم السكري,ستيراكس، حبوب الفانيليا، التبغ,,2013,,,
فرزاتشي ايروس أو دو برفيوم,459,فرزاتشي,رجالي,عطور,راقية,شرقية خشبية,100 مل,أوراق النعناع، قشر الليمون الإيطالي، التفاح الأخضر، حبوب التونكا، العنبر، إبرة الراعي، الفانيليا، خشب الأرز، طحلب البلوط,أو دو برفيوم,أوراق النعناع، قشر الليمون الإيطالي، التفاح الأخضر,حبوب التونكا، العنبر، إبرة الراعي، الفانيليا,خشب الأرز، طحلب البلوط,,,,,
رمال مجموعة الطيب - 5 قطع,399,رمال,-,مجموعات,,,,,,,,,,,,,
جوسي كوتور فيفا لا جوسي,298,جوسي كوتور,نسائي,عطور,حيوية,فاكهية,100 مل,اليوسفي، التوت البري، صريمة الجدي، الجاردينيا، الياسمين، العنبر، الكاراميل، حلوى اللوز، خشب الصندل، الفانيليا,أو دو برفيوم,اليوسفي، التوت البري,صريمة الجدي، الجاردينيا، الياسمين,العنبر، الكاراميل، حلوى اللوز، خشب الصندل، الفانيليا,,2008,عطور,,
نارسيسو رودريغز فور هير أو دو برفيوم,549,نارسيسو رودريغز,نسائي,عطور,أنثوية,زهرية,50 مل,روز، خوخ، عنبر، مسك، باتشولي، خشب الصندل,أو دو برفيوم,روز، خوخ,عنبر، مسك,باتشولي، خشب الصندل,,2006,عطور,,
مجموعة الأنوثة - 5 قطع,580,مجموعات حصرية,نسائي,مجموعات,,,,,,,,,,,,,
نيشاني هاندريد سايلنت وايز اكسترايت دو برفيوم,995,نيشاني,رجالي/نسائي,عطور,رومانسية,زهرية,50 مل,اليوسفي، مسك الروم، الخوخ، الياسمين، الغردينيا، السوسن، الفانيليا، خشب الصندل، نجيل الهند.,إكستريت دو برفيوم,اليوسفي، مسك الروم، الخوخ,الياسمين، الغردينيا، السوسن,الفانيليا، خشب الصندل، نجيل الهند.,,2016,,,
اف سان لوران بلاك أوبيوم,483,اف سان لوران,نسائي,عطور,,زهرية شرقية,50 مل,الفانيليا، الباتشولي، خشب الأرز، الخشب، القهوة، الياسمين، اللوز، الفلفل الوردي,أو دو برفيوم,,,,,,عطور,,
مقام رويال مجموعة أو دو برفيوم - 50x3 مل,399,مقام,رجالي/نسائي,مجموعة عطور,جذابة,شرقية,,,أو دو برفيوم,,,,,2023,,,
ديور سوفاج أو دو برفيوم,660,ديور,رجالي,عطور,جذابة,أروماتيك,100 مل,"خزامى، مريمية قاسية، غرنوقي، ليمون,لافندر، جوز الطيب، فلفل سيتشوان، ينسون نجمي,فانيلا، امبركسان",أو دو برفيوم,ليمون حلو,لافندر، جوز الطيب، فلفل سيتشوان، ينسون نجمي,فانيلا، امبركسان,أسود,2015,,,
ديور هيبنوتيك بويزن أو دو تواليت,668,ديور,نسائي,عطور,متألقة,أروماتيك,100 مل,"تفاح أخضر لذيذ، برقوق ميرابل، زهر البرتقال,ياسمين، زنبق الوادي، ورد، خشب الورد، مسك الروم,لوز، خشب الصندل، فانيلا",أو دو تواليت,مشمش، جوز هند، برقوق، فلفل حلو,ياسمين، زنبق الوادي، ورد، خشب الورد، مسك الروم,لوز، خشب الصندل، فانيلا,,1997,عطور,,
ايف سان لوران توكسيدو إيبيكس باتشولي أو دو برفيوم,1392,اف سان لوران,رجالي/نسائي,عطور,جذابة,الشيبير,125 مل,البرجموت، الكزبرة، أوراق البنفسج، زنبق الوادي، الفلفل الأسود، الورد، بربون الفانيليا، العنبر، الباتشولي,أو دو برفيوم,البرجموت، الكزبرة، أوراق البنفسج,زنبق الوادي، الفلفل الأسود، الورد,بربون الفانيليا، العنبر، الباتشولي,,2015,,,
قوتشي قلتي ابسولوت بور أوم,332,قوتشي,رجالي,عطور,جذابة,خشبية,50 مل,الجلد، الباتشولي، السرو، نفحات خشبية، نجيل الهند,أو دو برفيوم,الجلد,الباتشولي، السرو,نفحات خشبية، نجيل الهند,برتقالي,2017,,,
بارفيوم دو مارلي مجموعة ديلينا - قطعتان,1499,بارفيوم دو مارلي,نسائي,مجموعات,,,,,,,,,,,,,
كاندي أديكت أديكتيف تيمبتاشين مجموعة عطور ميني للشعر - 30x3 مل,199,كاندي أديكت,نسائي,"مجموعة عطور,عطر للشعر",,,,,,,,,,2021,,,
شانيل بلو دو شانيل أو دو تواليت,597,شانيل,رجالي,عطور,ديناميكية,أروماتيك,100 مل,الليمون، النعناع، الفلفل الوردي، الجريب فروت، زنجبيل، آيزو إي سوبر، جوزه الطيب، الياسمين، عدان، خشب الصندل، الباتشولي، نجيل الهند، البخور، أخشاب الأرز، المسك الأبيض.,أو دو تواليت,الليمون، النعناع، الفلفل الوردي، الجريب فروت,زنجبيل، آيزو إي سوبر، جوزه الطيب، الياسمين,عدان، خشب الصندل، الباتشولي، نجيل الهند، البخور، أخشاب الأرز، المسك الأبيض.,,2010,عطور,,
ديور أوم إنتنس,465,ديور,رجالي,عطور,رومانسية,جلدية,50 مل,"جريب فروت، يوسفي,إجاص، مسك، آيريس,خشب السيدار، نجيل الهند",أو دو برفيوم,لافندر,إجاص، مسك، آيريس,خشب السيدار، نجيل الهند,,1988,عطور,,
