الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,سنة الإصدار,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,Category,المكونات,اللون,النوتات العُليا,النوتات المتوسطة,النوتات القاعدية,التركيبة,نوع المكياج,مفتاح البحث
عطور النيرا ايفل أو دو برفيوم,270,عطور النيرا,رجالي/نسائي,عطور,حسية,زهرية,75 مل,,أو دو برفيوم,زهور اليوسفي، الأزهار,مسك الروم، الفانيليا,المسك الأبيض، الأخشاب,,,,,,,,,
مارينا دي بورون تيندري ريفرينس,207,مارينا دو بوربون,نسائي,عطور,راقية,زهرية,100 مل,2014,أو دو برفيوم,البارغموت، الكشمش الأحمر، الخوخ,الفاوانيا الوردية، المجنوليا، البنفسج,المسك، خشب الصندل، الفانيليا.,,البارغموت، الكشمش الأحمر، الخوخ، الفاوانيا الوردية، المجنوليا، البنفسج، المسك، خشب الصندل، الفانيليا.,,,,,,,
ذا هارمونيست فيلفيت فاير برفيوم,950,ذا هارمونيست,رجالي/نسائي,عطور,عصرية,أروماتيك,50 مل,2020,برفيوم مركز,ميرتل، شجرة السرو، المريمية,النيرولي، الزعفران، التبغ,اللابدانوم، حبوب التونكا، العود,,,,,,,,,
أحمد للعطور بدون اسم أو دو برفيوم,65,أحمد للعطور,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,50 مل,2019,أو دو برفيوم,الزعفران، الورد,الزهور البيضاء,العنبر، المسك، العود الكمبودي,,,,,,,,,
بوديسيا هيروين أو دو برفيوم,1642,بوديسيا,رجالي/نسائي,عطور,ديناميكية,حمضية,100 مل,2019,أو دو برفيوم,البرتقال، البنفسج، البرغموت,ياسمين، روز,الفانيليا، المسك، السوسن، نجيل الهند.,,البرتقال، البنفسج، البرغموت، الياسمين، الورد، الفانيليا، المسك، السوسن، نجيل الهند.,,,,,,,
جيفنشي هوت كوتور,547,جفنشي,نسائي,عطور,أنثوية,فاكهية,100 مل,2000,أو دو برفيوم,برغموت، توت العلّيق، برتقال,ماغنوليا، فلفل أسود، نجيل الهند,عنبر، مسك، خشب الصندل,عطور,"غريب فروت، هديون، برغموت, ماغنوليا، فلفل أسود، نجيل الهند,عنبر، مسك، خشب الصندل",,,,,,,
ماي برفيوم بارسا فيلينج أو دو برفيوم,99,ماي برفيوم,رجالي,عطور,حسية,زهرية,100 مل,,أو دو برفيوم,توت العليق، الليمون، البرتقال، الحمضيات، نوتات طازجة,اللافندر، إبرة الراعي، المريمية، بيمنتو,الباتشولي، نجيل الهند، أخشاب الأرز,,,,,,,,,
اتش تو اوه مارين أو دو برفيوم,119,درعه,رجالي,عطور,حيوية,أروماتيك,150 مل,,أو دو برفيوم,الياسمين، الماجنوليا,أخشاب الصندل، المسك الأبيض,أروماتيك، رذاذ الماء,,,,,,,,,
جيريني رومانس روبيس اكستريت دي برفيوم,307,جيريني,رجالي/نسائي,عطور,رومانسية,زهرية,100 مل,,إكستريت دو برفيوم,التوت، الورد,ياسمين، فاكهة، براعم كورجية، فلفل وردي,أرز فيرجيني، مسك، فانيليا,,التوت، الورد، ياسمين، فاكهة، براعم كورجية، فلفل وردي، أرز فيرجيني، مسك، فانيليا,,,,,,,
جويو يونيك أند سينسوريل بارفيومز ألتراهوت أو دو برفيوم,523,جويو يونيك أند سينسوريل بارفيومز,رجالي/نسائي,عطور,محبة للطبيعة,"خشبية,خشبية",100 مل,2018,أو دو برفيوم,أوليبان، الزعفران، الأرز,,,,,,,,,,,
