الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,سنة الإصدار,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,Category,المكونات,اللون,النوتات العُليا,النوتات المتوسطة,النوتات القاعدية,التركيبة,نوع المكياج,مفتاح البحث
جورو انتويشن أو دو برفيوم,579,جورو,رجالي/نسائي,عطور,ديناميكية,حمضية,100 مل,2017,أو دو برفيوم,البرغموت، الماندرين البرتقالي، البنفسج، الزنجبيل، الريحان,الجريب فروت، زهر البرتقال، التبغ، الفلفل الأسود,العنبر، الأرز، الباتشولي، طحلب السنديان، الجلود.,,,,,,,,,
بوليفارد باريس باريس جي تامي أو دو برفيوم,87,بوليفارد باريس,نسائي,عطور,حيوية,فاكهية,100 مل,,أو دو برفيوم,توت العليق، الكمثرى، البرجموت,الياسمين، الفاونيا، الداتورة,الباتشولي، المسك الأبيض، أمبروكسان,,,,,,,,,
ثمين جرين بيرل,705,ثمين,رجالي/نسائي,عطور,ديناميكية,حمضية,50 مل,2016,إكستريت دو برفيوم,البرغموت، اليوسفي، زهر البرتقال، والتفاح,شيح، شاي، فلفل,طحلب السنديان، المسك، تونكا,,البرغموت، اليوسفي، زهر البرتقال، التفاح، شيح، شاي، فلفل، طحلب السنديان، المسك، تونكا,,,,,,,
العربية للعود ديفرنت أو دو برفيوم,195,العربية للعود,رجالي,عطور,جذابة,شرقية,90مل,,أو دو برفيوم,الليمون,اللافندر الفرنسي، الهيل,الباتشولي,,,,,,,,,
جاكوار كلاسيك إليكتريك سكاي أو دو تواليت,109,جاكوار,رجالي,عطور,حيوية,أروماتيك,100 مل,2020,أو دو تواليت,الجريب فروت، أوراق البنفسج، فلفل سيتشوان,كلاري سيج، إبرة الراعي، لافندر,العنبر، طحلب البلوط، حبوب التونكا.,,,,,,,,,
جيرلان شاليمار,759,جيرلان,نسائي,عطور,رومانسية,أروماتيك,90مل,2011,أو دو برفيوم,برغموت، ليمون، يوسفي، إكليل الجبل,سوسن، ياسمين، ورد، بتشول، نجيل الهند,فانيليا، أبوبوناكس، حبوب التونكا، لبان، خشب الصندل، مسك، زباد، عنبر، جلد، كومارين، بلسم بيرو,عطور,"برغموت، ليمون، زهرة يلانغ يلانغ، خوخ، روائح أوراق الشجر الخضراء,سوسن، ياسمين، ورد، بتشول، نجيل الهند,فانيليا، أبوبوناكس، حبوب التونكا، لبان، خشب الصندل، مسك، زباد، عنبر، جلد، كومارين، بلسم بيرو",,,,,,,
ادريان فيتاديني إيه  في,140,آدريان فيتاديني,نسائي,عطور,أنثوية,زهرية,90مل,,أو دو برفيوم,سيكلامين، برغموت، زنبق الوادي,فريسيا صفراء، ورد ماي، ياسمين، زهرة يلانغ يلانغ,سوسن، خشب الصندل، حزازيات، مسك، حبوب التونكا,,"الكباد، ورد ماي، فاوانيا,فريسيا صفراء، ورد ماي، ياسمين، زهرة يلانغ يلانغ,سوسن، خشب الصندل، حزازيات، مسك، حبوب التونكا","أصفر,فضي",,,,,,
باريس كولكشن سي بي 1182 أو دو برفيوم,100,باريس كولكشن,نسائي,عطور,,,100 مل,,أو دو برفيوم,,,,,,,,,,,,
مرسيدس بينز مرسيدس بينز إينتينس,257,مرسيديس - بنز,رجالي,عطور,محبة للطبيعة,خشبية,120 مل,2013,أو دو تواليت,برغموت كالابريا، اليوسفي الإيطالي، جوهر الليمون، أوراق البنفسج المطلقة,لفل بوربون، جزيئات كاسكالون، الجالبانوم، جوزة الطيب، البنفسج المطلق,أمبروكس، خشب الأرز الأمريكي، نجيل بوربون، ليمبانول، الباتشولي الإندونيسي، سيتالوكس.,,برغموت كالابريا، اليوسفي الإيطالي، جوهر الليمون، أوراق البنفسج المطلقة، فلفل بوربون، جزيئات كاسكالون، الجالبانوم، جوزة الطيب، البنفسج المطلق، أمبروكس، خشب الأرز الأمريكي، نجيل بوربون، ليمبانول، الباتشولي الإندونيسي، سيتالوكس.,أسود,,,,,,
الماجد للعود نوار برفيوم,149,الماجد للعود,رجالي/نسائي,عطور,جذابة,جلدية,150 مل,,برفيوم مركز,التوت,جذور السوسن,التبغ، العود، الجلود,,,,,,,,,
إموجي ورميث أو دو برفيوم,179,إموجي,رجالي/نسائي,عطور,حسية,زهرية,50 مل,,أو دو برفيوم,العسل,الورد، الياسمين,أخشاب الصندل,,,,,,,,,
ديم الشاي الأخضر,95,عطورات ديم,رجالي/نسائي,عطور,حيوية,أروماتيك,60 مل,,أو دو برفيوم,,,,,الشاي الأخضر,,,,,,,
سوالف بلاك روز أو دو برفيوم,525,سوالف,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,80 مل,,أو دو برفيوم,الزعفران، توت العرعر، الجريب فروت,الوردة السوداء,الجلود، البنفسج، كشميران، التوت,,الزعفران، توت العرعر، الجريب فروت، الوردة السوداء، الجلود، البنفسج، كشميران، التوت,,,,,,,
ليكويد اماجينيرز بو دي بيت أو دو برفيوم,727,ليكويد اماجينيرز,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2016,أو دو برفيوم,الفلفل الأسود، البقدونس، الزعفران، البابونج، الكمون,أمريس، الأعشاب، أرز تكساس، الأرز الأطلسي، أمبراروم، الباتشولي، أوراق الباتشولي، أخشاب الغاياك، زيت سيبرول، ستيراكس، العرعر,القندس، الزباد,,,,,,,,,
هوجو بوس هوجو إيكستريم للنساء,206,هيوجو بوس,نسائي,عطور,حيوية,فاكهية,30 مل,2016,أو دو برفيوم,الوت البري,الياسمين، الورود البيضاء، الشاي الاسود,أوسمانثوس الشرقي,,التوت البري، الياسمين، الزهور البيضاء، الشاي الأسود، أوسمانثوس الشرقي,,,,,,,
وست ورلد هني بال إكستريت دو برفيوم,288,وست ورلد,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,إكستريت دو برفيوم,الكاكاو، الباتشولي,الورد البلغاري، أزهار السوسن,الجلود، الفواكه,,,,,,,,,
كارولينا هيريرا 212 في آي بي روز,610,كارولينا هيريرا,نسائي,عطور,حيوية,فاكهية,125 مل,1995,أو دو برفيوم,شامبانيا، رائحه الفواكه,براعم الخوخ,الأخشاب، المسك الأبيض، العنبر.,عطور,شامبانيا، رائحه الفواكه، براعم الخوخ، الأخشاب، المسك الأبيض، العنبر.,,,,,,,
ماء الذهب مون سوير أو دو برفيوم,150,ماء الذهب,نسائي,عطور,جذابة,زهرية شرقية,75 مل,,أو دو برفيوم,الكمثرى، البرجموت، اليوسفي,الياسمين، النيرولي، مسك الروم، حبوب التونكا,المسك، الفانيليا، الباتشولي، أخشاب الصندل,,,,,,,,,
هيرميز تويلي دي هيرميز أو بوافري,644,هيرمس,نسائي,عطور,جذابة,زهرية شرقية,85 مل,2017,أو دو برفيوم,,,,,الفلفل الوردي الطازج، زهور تندر، الباتشولي، التوابل، الأخشاب، الزهور,,,,,,,
زهور برشيوس أو دو برفيوم,299,زهور,رجالي/نسائي,عطور,حيوية,مائية منعشة,90مل,,أو دو برفيوم,البرجموت، نسيم البحر,الياسمين، الورد، زهور البرتقال، الزعفران,العنبر، الجلود، الفانيليا، حبوب التونكا، العسل,,,,,,,,,
ميزون فرانسيس كوركدجيان باريس أكوا فيتا كولون فورت أو دو برفيوم,990,ميزون فرانسيس كوركدجيان باريس,رجالي/نسائي,عطور,ديناميكية,حمضية,70 مل,2021,أو دو برفيوم,البرجموت، البرتقال,الطاقة الشمسية، الأزهار,خشب الصندل، المسك,,,,,,,,,
كاتي بيري كيلر كوين,97,كاتي بري,نسائي,عطور,حيوية,أروماتيك,100 مل,2013,أو دو برفيوم,التوت البري، البرقوق الداكن، البرغموت,الزهرة الحمراء (سيلوزيا)، ياسمين السامباك، بلوماريا رينبو,الكشمير، الباتشولي، البرالين السائل.,,التوت البري، البرقوق الداكن، البرغموت، الزهرة الحمراء (سيلوزيا)، ياسمين السامباك، بلوماريا رينبو، الكشمير، الباتشولي، البرالين السائل.,أحمر,,,,,,
مسك مسك البنات,115,مسك,نسائي,عطور,حيوية,فاكهية,50 مل,,أو دو برفيوم,الكمثرى، الكاموميل، البرجموت,زهر الفريزيا، زهرة البتلة، هيليوتروب,الباتشولي، المسك، الفانيليا,,الكمثرى، الكاموميل، البرجموت، زهر الفريزيا، زهرة البتلة، هيليوتروب، الباتشولي، المسك، الفانيليا,,,,,,,
إسكادا ابسلوتلي مي,217,اسكادا,نسائي,عطور,رومانسية,زهرية,30 مل,2010,أو دو تواليت,توت العليق، الورد، الفلفل الوردي,الورد، حلوى المكرونة، الياسمين، الزعرور البري,الفانيليا، المسك الأبيض,,توت العليق، الورد، الفلفل الوردي، الورد، حلوى المعكرونة، الياسمين، الزعرور البري، الفانيليا، المسك الأبيض,,,,,,,
ايف سان لوران باريس,499,اف سان لوران,نسائي,عطور,عصرية,زهرية شرقية,75 مل,,أو دو تواليت,البرجموت، البنفسج، زهر البرتقال,الورد، السوسن,خشب الصندل، العنبر، الفانيليا,,البرجموت، البنفسج، زهر البرتقال، الورد، السوسن، خشب الصندل، العنبر، الفانيليا,,,,,,,
